,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,dependency_distance_mean,dependency_distance_std,prop_adjacent_dependency_relation_mean,prop_adjacent_dependency_relation_std,type_token_ratio,dependency_depth_mean,dependency_depth_std,file_name,n_tokens_once_in_courpus,text_type,Number
0,1153,430,0.37294015611448394,5238,63,4.451864700780573,4.0,2.626104606460019,18.3015873015873,18.0,8.998474157489888,3.0570706023908256,1.028082018120394,0.3762688474915355,0.10024765506626673,0.37294015611448394,4.714285714285714,1.557659736552012,10_rillington_place,120,synopsis movie,60
1,974,405,0.41581108829568786,4918,40,5.146817248459959,4.0,3.121759943893833,24.35,21.5,14.877079686551388,3.3606684602188546,1.2866410927855834,0.3555967678440822,0.09923317664873273,0.41581108829568786,5.35,1.943579172557681,artistieke_talen,131,technical text,39
2,956,386,0.40376569037656906,4871,49,4.981171548117155,4.0,3.14530617408389,19.510204081632654,21.0,11.06220343585806,3.0947419487010412,1.3944330210272595,0.3601623650871262,0.1239515204103899,0.40376569037656906,4.653061224489796,1.8356005568790903,aspasia,114,history,58
3,1177,516,0.43840271877655057,6372,48,5.288870008496176,4.0,3.5736912984015956,24.520833333333332,23.0,14.747866488825503,3.408240061113925,1.2801707394552087,0.36824265102073855,0.10760057142118025,0.43840271877655057,5.375,1.943203969393503,atonaliteit,202,technical text,32
4,937,413,0.4407684098185699,4293,52,4.416221985058698,4.0,2.5489180800261533,18.01923076923077,18.0,11.282202431971177,3.007698265353685,1.477507280310092,0.32473271172862284,0.1378463067945342,0.4407684098185699,4.461538461538462,2.0518428720537134,basiliscus_van_utrecht,121,fairy tale,50
5,929,406,0.4370290635091496,4724,52,4.953713670613563,4.0,3.2951361369885492,17.865384615384617,17.5,8.4694674388786,3.078503163183733,1.0411198404899802,0.387599367941425,0.07935972130854226,0.4370290635091496,4.961538461538462,1.5561483326264547,begin_van_de_roemeense_revolutie,127,history,43
6,1043,399,0.3825503355704698,4966,66,4.652924256951103,4.0,2.7047698680895778,15.803030303030303,17.0,7.773731401854107,2.8257821217056827,1.0716736774556928,0.37872307076761774,0.11817553222304607,0.3825503355704698,4.621212121212121,1.7474236578039901,big_fish,95,synopsis movie,61
7,972,446,0.4588477366255144,4992,44,5.025720164609053,4.0,3.2735938450627766,22.09090909090909,19.0,17.619485832218132,3.216837821011556,1.5343317797355633,0.40460012345275886,0.11401414670549408,0.4588477366255144,4.954545454545454,1.8702764192219077,dadaïsme,167,technical text,31
8,971,475,0.48918640576725025,4750,41,4.7693099897013385,4.0,3.0509449562975512,23.682926829268293,23.0,10.857028799837446,3.667601845654328,0.9515322054168582,0.3663082182188966,0.06704629072147314,0.48918640576725025,5.658536585365853,1.5712315520396494,darwin,147,journal entry,46
9,898,373,0.4153674832962138,4272,23,4.674832962138084,4.0,2.843946257809724,39.04347826086956,28.0,32.15381275771542,4.1465894185842505,1.7019561303716093,0.37379503804004427,0.053138461749323615,0.4153674832962138,6.043478260869565,1.9219161830695952,de_chinese_filosofie,113,technical text,54
